"year","month","temperature"
1911,"Червень",15
1912,"Червень",18.2
1913,"Червень",15.4
1914,"Червень",18
1915,"Червень",18.1
1916,"Червень",16.8
1917,"Червень",19.8
1918,"Червень",16.7
1919,"Червень",16.1
1920,"Червень",15.6
1921,"Червень",17.9
1922,"Червень",17.5
1923,"Червень",16.1
1924,"Червень",21.3
1925,"Червень",14.9
1926,"Червень",17.5
1927,"Червень",19.7
1928,"Червень",14.3
1929,"Червень",15.4
1930,"Червень",17
1931,"Червень",17.9
1932,"Червень",17.7
1933,"Червень",14.8
1934,"Червень",17.5
1935,"Червень",19.2
1936,"Червень",19
1937,"Червень",19.5
1938,"Червень",18.6
1939,"Червень",19.5
1940,"Червень",19
1941,"Червень",16
1942,"Червень",15.3
1943,"Червень",17.9
1944,"Червень",17.5
1945,"Червень",17.1
1946,"Червень",21.2
1947,"Червень",19.9
1948,"Червень",19.9
1949,"Червень",16.5
1950,"Червень",17.5
1951,"Червень",19.3
1952,"Червень",17.4
1953,"Червень",20.9
1954,"Червень",21.8
1955,"Червень",16.9
1956,"Червень",20.9
1957,"Червень",18.9
1958,"Червень",16.7
1959,"Червень",19
1960,"Червень",19.3
1961,"Червень",20.3
1962,"Червень",16.8
1963,"Червень",17.4
1964,"Червень",22.3
1965,"Червень",17.6
1966,"Червень",16.9
1967,"Червень",18.2
1968,"Червень",20.1
1969,"Червень",17.3
1970,"Червень",17.2
1971,"Червень",18.1
1972,"Червень",19.7
1973,"Червень",17.9
1974,"Червень",17
1975,"Червень",20.7
1976,"Червень",16.2
1977,"Червень",17.2
1978,"Червень",16.6
1979,"Червень",21.5
1980,"Червень",17.1
1981,"Червень",21.1
1982,"Червень",16.9
1983,"Червень",18.2
1984,"Червень",15.7
1985,"Червень",16.7
1986,"Червень",19.3
1987,"Червень",18.2
1988,"Червень",18.3
1989,"Червень",19.4
1990,"Червень",16.9
1991,"Червень",18.5
1992,"Червень",18.7
1993,"Червень",16.7
1994,"Червень",16.3
1995,"Червень",20.1
1996,"Червень",18.8
1997,"Червень",18.3
1998,"Червень",19.8
1999,"Червень",22.6
2000,"Червень",17.9
2001,"Червень",16.7
2002,"Червень",18.4
2003,"Червень",18
2004,"Червень",17.7
2005,"Червень",17.3
2006,"Червень",18.4
2007,"Червень",20.4
2008,"Червень",18.8
2009,"Червень",20.4
2010,"Червень",22
2011,"Червень",21.1
2012,"Червень",20
2013,"Червень",21.6
2014,"Червень",18.2
1812,"Липень",21.2
1813,"Липень",18.8
1814,"Липень",21.6
1815,"Липень",17.6
1816,"Липень",18.5
1817,"Липень",20.6
1818,"Липень",19.4
1819,"Липень",19.7
1820,"Липень",17.1
1821,"Липень",19
1822,"Липень",21
1823,"Липень",18.8
1824,"Липень",16.7
1825,"Липень",15.3
1826,"Липень",20.9
1827,"Липень",18.9
1828,"Липень",18.9
1829,"Липень",19.7
1830,"Липень",15.7
1831,"Липень",17.2
1832,"Липень",14.9
1833,"Липень",17.6
1834,"Липень",21
1835,"Липень",17.4
1836,"Липень",17.3
1837,"Липень",15.9
1838,"Липень",18.4
1839,"Липень",19.9
1840,"Липень",20.6
1841,"Липень",22.2
1842,"Липень",18.3
1843,"Липень",17.3
1844,"Липень",17.9
1845,"Липень",21.9
1847,"Липень",18.6
1851,"Липень",20.9
1852,"Липень",17
1853,"Липень",20.2
1854,"Липень",19.9
1855,"Липень",21.6
1856,"Липень",18.8
1857,"Липень",17.9
1858,"Липень",22.4
1859,"Липень",20.3
1860,"Липень",19.7
1861,"Липень",20.3
1862,"Липень",20.1
1863,"Липень",17.8
1864,"Липень",17.4
1865,"Липень",21.5
1866,"Липень",19.2
1867,"Липень",19.7
1868,"Липень",19.9
1869,"Липень",19
1870,"Липень",18.9
1871,"Липень",21.4
1872,"Липень",18.8
1873,"Липень",20
1874,"Липень",19.6
1875,"Липень",20.5
1876,"Липень",20.1
1877,"Липень",18.8
1878,"Липень",16.6
1879,"Липень",18.3
1880,"Липень",20.6
1881,"Липень",19.6
1882,"Липень",22.7
1883,"Липень",21.1
1884,"Липень",19.6
1885,"Липень",22.8
1886,"Липень",17.9
1887,"Липень",18.8
1888,"Липень",17.7
1889,"Липень",20.7
1890,"Липень",20.6
1891,"Липень",21.3
1892,"Липень",18.2
1893,"Липень",18.6
1894,"Липень",19.6
1895,"Липень",20.1
1896,"Липень",19.3
1897,"Липень",21.8
1898,"Липень",18.2
1899,"Липень",19
1900,"Липень",19.8
1901,"Липень",20.1
1902,"Липень",16.9
1903,"Липень",20
1904,"Липень",17.2
1905,"Липень",18.9
1906,"Липень",19.3
1907,"Липень",17.8
1908,"Липень",19
1909,"Липень",19.3
1910,"Липень",19
1911,"Липень",17
1912,"Липень",17
1913,"Липень",17.7
1914,"Липень",20
1915,"Липень",20
1916,"Липень",18.6
1917,"Липень",17.6
1918,"Липень",18.1
1919,"Липень",18.8
1920,"Липень",22.4
1921,"Липень",19.6
1922,"Липень",20.5
1923,"Липень",18.1
1924,"Липень",18.2
1925,"Липень",20.6
1926,"Липень",20.1
1927,"Липень",20.4
1928,"Липень",19.4
1929,"Липень",19
1930,"Липень",17.8
1931,"Липень",21.6
1932,"Липень",20.9
1933,"Липень",19.4
1934,"Липень",19.1
1935,"Липень",16.9
1936,"Липень",25.5
1937,"Липень",19.8
1938,"Липень",22.6
1939,"Липень",21.5
1940,"Липень",19.5
1941,"Липень",20.4
1942,"Липень",19
1943,"Липень",17.9
1944,"Липень",19.9
1945,"Липень",19.2
1946,"Липень",20.5
1947,"Липень",21.5
1948,"Липень",18.5
1949,"Липень",19.1
1950,"Липень",18.9
1951,"Липень",20.4
1952,"Липень",19.5
1953,"Липень",22.1
1954,"Липень",20.3
1955,"Липень",21
1956,"Липень",18.2
1957,"Липень",20.3
1958,"Липень",19.8
1959,"Липень",23.4
1960,"Липень",21.3
1961,"Липень",20.4
1962,"Липень",17.4
1963,"Липень",21.6
1964,"Липень",20.2
1965,"Липень",18.6
1966,"Липень",20.7
1967,"Липень",20.4
1968,"Липень",18
1969,"Липень",18.8
1970,"Липень",20.8
1971,"Липень",18.4
1972,"Липень",22
1973,"Липень",20.1
1974,"Липень",17.9
1975,"Липень",20.3
1976,"Липень",18.1
1977,"Липень",19
1978,"Липень",17.1
1979,"Липень",16.9
1980,"Липень",18.8
1981,"Липень",20.8
1982,"Липень",18.5
1983,"Липень",19.2
1984,"Липень",17.6
1985,"Липень",17.9
1986,"Липень",19
1987,"Липень",20.3
1988,"Липень",21.7
1989,"Липень",19.4
1990,"Липень",18.4
1991,"Липень",21.2
1992,"Липень",20.7
1993,"Липень",17.9
1994,"Липень",21.1
1995,"Липень",20.5
1996,"Липень",19.3
1997,"Липень",19.4
1998,"Липень",19.5
1999,"Липень",22.7
2000,"Липень",19.1
2001,"Липень",24.6
2002,"Липень",23.9
2003,"Липень",21.3
2004,"Липень",20.5
2005,"Липень",21.4
2006,"Липень",20.9
2007,"Липень",21.3
2008,"Липень",20.8
2009,"Липень",21.7
2010,"Липень",24.4
2011,"Липень",21.7
2012,"Липень",23.6
2013,"Липень",20.8
2014,"Липень",22.1
1812,"Серпень",19.8
1813,"Серпень",18.2
1814,"Серпень",19.8
1815,"Серпень",18.4
1816,"Серпень",17.9
1817,"Серпень",22.7
1818,"Серпень",19.6
1819,"Серпень",20.7
1820,"Серпень",20
1821,"Серпень",17.2
1822,"Серпень",17
1823,"Серпень",18.6
1824,"Серпень",18.2
1825,"Серпень",15.8
1826,"Серпень",17.2
1827,"Серпень",18
1828,"Серпень",14.9
1829,"Серпень",17.2
1830,"Серпень",20.8
1831,"Серпень",16.4
1832,"Серпень",16.1
1833,"Серпень",13.1
1834,"Серпень",20.6
1835,"Серпень",14
1836,"Серпень",16.3
1837,"Серпень",19.7
1838,"Серпень",16.9
1839,"Серпень",22.5
1840,"Серпень",17.2
1841,"Серпень",21
1842,"Серпень",18.2
1843,"Серпень",18.6
1844,"Серпень",17.8
1845,"Серпень",17.9
1847,"Серпень",20.6
1851,"Серпень",19.4
1852,"Серпень",18.2
1853,"Серпень",19
1854,"Серпень",21.5
1855,"Серпень",19.2
1856,"Серпень",16.7
1857,"Серпень",17.2
1858,"Серпень",19.7
1859,"Серпень",21.4
1860,"Серпень",19.8
1861,"Серпень",17.7
1862,"Серпень",18.6
1863,"Серпень",19
1864,"Серпень",16.5
1865,"Серпень",18
1866,"Серпень",17.8
1867,"Серпень",17.2
1868,"Серпень",20
1869,"Серпень",20.1
1870,"Серпень",16.8
1871,"Серпень",19.4
1872,"Серпень",19.8
1873,"Серпень",19
1874,"Серпень",19.6
1875,"Серпень",18.8
1876,"Серпень",18.6
1877,"Серпень",18.7
1878,"Серпень",19
1879,"Серпень",17.2
1880,"Серпень",18.2
1881,"Серпень",18.1
1882,"Серпень",18.4
1883,"Серпень",18.5
1884,"Серпень",15.5
1885,"Серпень",16.1
1886,"Серпень",18.7
1887,"Серпень",16.9
1888,"Серпень",17.2
1889,"Серпень",18
1890,"Серпень",22.8
1891,"Серпень",18.6
1892,"Серпень",20.1
1893,"Серпень",17.7
1894,"Серпень",18.3
1895,"Серпень",18.8
1896,"Серпень",19.7
1897,"Серпень",20.3
1898,"Серпень",19.4
1899,"Серпень",16
1900,"Серпень",20.2
1901,"Серпень",19.6
1902,"Серпень",17.2
1903,"Серпень",18.6
1904,"Серпень",17.3
1905,"Серпень",19.5
1906,"Серпень",16.5
1907,"Серпень",17.2
1908,"Серпень",17.4
1909,"Серпень",19.9
1910,"Серпень",16.9
1911,"Серпень",17.6
1912,"Серпень",17.4
1913,"Серпень",19
1914,"Серпень",16.8
1915,"Серпень",16.6
1916,"Серпень",16.5
1917,"Серпень",19.1
1918,"Серпень",17
1919,"Серпень",16.2
1920,"Серпень",20.4
1921,"Серпень",19.8
1922,"Серпень",18.1
1923,"Серпень",16.4
1924,"Серпень",18.6
1925,"Серпень",17.9
1926,"Серпень",15.5
1927,"Серпень",20.3
1928,"Серпень",16.4
1929,"Серпень",22.8
1930,"Серпень",18.8
1931,"Серпень",18.1
1932,"Серпень",18.9
1933,"Серпень",16.6
1934,"Серпень",19.2
1935,"Серпень",18.4
1936,"Серпень",18.2
1937,"Серпень",19.2
1938,"Серпень",21.9
1939,"Серпень",22
1940,"Серпень",18.2
1941,"Серпень",18.4
1942,"Серпень",20
1943,"Серпень",20.2
1944,"Серпень",19.3
1945,"Серпень",19.1
1946,"Серпень",22.8
1947,"Серпень",17.8
1948,"Серпень",19.6
1949,"Серпень",18.2
1950,"Серпень",17.2
1951,"Серпень",20.6
1952,"Серпень",20.8
1953,"Серпень",19.2
1954,"Серпень",20.4
1955,"Серпень",19.8
1956,"Серпень",18.1
1957,"Серпень",19.1
1958,"Серпень",18.3
1959,"Серпень",19.7
1960,"Серпень",17.9
1961,"Серпень",18.4
1962,"Серпень",18.7
1963,"Серпень",20.9
1964,"Серпень",16.4
1965,"Серпень",17.1
1966,"Серпень",19.5
1967,"Серпень",18.5
1968,"Серпень",19.4
1969,"Серпень",18.1
1970,"Серпень",17.7
1971,"Серпень",19.1
1972,"Серпень",20.8
1973,"Серпень",18.5
1974,"Серпень",18.7
1975,"Серпень",19.5
1976,"Серпень",16.5
1977,"Серпень",16.9
1978,"Серпень",18
1979,"Серпень",19.1
1980,"Серпень",17.3
1981,"Серпень",18.3
1982,"Серпень",19.3
1983,"Серпень",18.9
1984,"Серпень",18.7
1985,"Серпень",20.7
1986,"Серпень",19.9
1987,"Серпень",16.4
1988,"Серпень",18.5
1989,"Серпень",19.6
1990,"Серпень",18.5
1991,"Серпень",18.9
1992,"Серпень",22.9
1993,"Серпень",17.5
1994,"Серпень",19.1
1995,"Серпень",19.8
1996,"Серпень",19.1
1997,"Серпень",19.2
1998,"Серпень",18.3
1999,"Серпень",19.3
2000,"Серпень",20.5
2001,"Серпень",21
2002,"Серпень",20.1
2003,"Серпень",19.2
2004,"Серпень",20.1
2005,"Серпень",20
2006,"Серпень",19.9
2007,"Серпень",21.5
2008,"Серпень",21.6
2009,"Серпень",19.2
2010,"Серпень",24.6
2011,"Серпень",19.3
2012,"Серпень",20.4
2013,"Серпень",19.9
2014,"Серпень",21.3
1812,"Вересень",13.6
1813,"Вересень",14.9
1814,"Вересень",13.4
1815,"Вересень",13.1
1816,"Вересень",15.7
1817,"Вересень",13.5
1818,"Вересень",14.5
1819,"Вересень",17.6
1820,"Вересень",14.7
1821,"Вересень",13.3
1822,"Вересень",12.2
1823,"Вересень",12.7
1824,"Вересень",16.3
1825,"Вересень",12.4
1826,"Вересень",13.4
1827,"Вересень",11.4
1828,"Вересень",10.2
1829,"Вересень",14.7
1830,"Вересень",11.8
1831,"Вересень",11.6
1832,"Вересень",10.5
1833,"Вересень",11.7
1834,"Вересень",15.4
1835,"Вересень",12
1836,"Вересень",12.4
1837,"Вересень",14.4
1838,"Вересень",17.2
1839,"Вересень",16.9
1840,"Вересень",16.4
1841,"Вересень",15.6
1842,"Вересень",13.8
1843,"Вересень",11.7
1844,"Вересень",15.4
1845,"Вересень",12.3
1847,"Вересень",15.8
1851,"Вересень",16.1
1852,"Вересень",14.2
1853,"Вересень",12.7
1854,"Вересень",13.7
1855,"Вересень",12.2
1856,"Вересень",14
1857,"Вересень",11.4
1858,"Вересень",14.6
1859,"Вересень",13.9
1860,"Вересень",15
1861,"Вересень",13.3
1862,"Вересень",14.6
1863,"Вересень",17.7
1864,"Вересень",13.9
1865,"Вересень",11.5
1866,"Вересень",17.3
1867,"Вересень",12
1868,"Вересень",15.5
1869,"Вересень",13.8
1870,"Вересень",11
1871,"Вересень",11.1
1872,"Вересень",15.3
1873,"Вересень",13.2
1874,"Вересень",15.4
1875,"Вересень",11.2
1876,"Вересень",13.5
1877,"Вересень",10.6
1878,"Вересень",16.2
1879,"Вересень",14.4
1880,"Вересень",13.9
1881,"Вересень",12.3
1882,"Вересень",14.5
1883,"Вересень",16
1884,"Вересень",12.1
1885,"Вересень",14.3
1886,"Вересень",13.7
1887,"Вересень",15.5
1888,"Вересень",14
1889,"Вересень",10.6
1890,"Вересень",14
1891,"Вересень",14.4
1892,"Вересень",16.7
1893,"Вересень",12.6
1894,"Вересень",10.2
1895,"Вересень",12.8
1896,"Вересень",14.8
1897,"Вересень",14.6
1898,"Вересень",12
1899,"Вересень",14.4
1900,"Вересень",12.3
1901,"Вересень",12.2
1902,"Вересень",12.1
1903,"Вересень",15.1
1904,"Вересень",11.4
1905,"Вересень",13.8
1906,"Вересень",11.6
1907,"Вересень",14.4
1908,"Вересень",13.2
1909,"Вересень",18.4
1910,"Вересень",13.5
1911,"Вересень",13
1912,"Вересень",11.8
1913,"Вересень",14.1
1914,"Вересень",11.5
1915,"Вересень",12.2
1916,"Вересень",12.2
1917,"Вересень",13.3
1918,"Вересень",15.1
1919,"Вересень",17
1920,"Вересень",13.9
1921,"Вересень",11.8
1922,"Вересень",11.4
1923,"Вересень",15.8
1924,"Вересень",16.9
1925,"Вересень",12.7
1926,"Вересень",12.6
1927,"Вересень",16.6
1928,"Вересень",13.5
1929,"Вересень",12.3
1930,"Вересень",13
1931,"Вересень",12.2
1932,"Вересень",16.7
1933,"Вересень",12.6
1934,"Вересень",15.9
1935,"Вересень",14.4
1936,"Вересень",12.4
1937,"Вересень",17.8
1938,"Вересень",15.9
1939,"Вересень",14.5
1940,"Вересень",13.8
1941,"Вересень",13.8
1942,"Вересень",15.9
1943,"Вересень",15.9
1944,"Вересень",15.8
1945,"Вересень",14.3
1946,"Вересень",15.3
1947,"Вересень",14.9
1948,"Вересень",13.8
1949,"Вересень",14.8
1950,"Вересень",14.6
1951,"Вересень",15.3
1952,"Вересень",14.5
1953,"Вересень",13.6
1954,"Вересень",16
1955,"Вересень",16.6
1956,"Вересень",12.2
1957,"Вересень",13.7
1958,"Вересень",12.2
1959,"Вересень",10.9
1960,"Вересень",12
1961,"Вересень",13.5
1962,"Вересень",13.2
1963,"Вересень",16.5
1964,"Вересень",14.1
1965,"Вересень",14.6
1966,"Вересень",12.7
1967,"Вересень",15.6
1968,"Вересень",14.1
1969,"Вересень",13.2
1970,"Вересень",13.4
1971,"Вересень",12.1
1972,"Вересень",13.4
1973,"Вересень",12.1
1974,"Вересень",15.6
1975,"Вересень",16.9
1976,"Вересень",13.3
1977,"Вересень",11.7
1978,"Вересень",11.9
1979,"Вересень",14.9
1980,"Вересень",13.7
1981,"Вересень",14.2
1982,"Вересень",15.7
1983,"Вересень",16.2
1984,"Вересень",15.4
1985,"Вересень",12.5
1986,"Вересень",12.5
1987,"Вересень",13.3
1988,"Вересень",14.1
1989,"Вересень",14.5
1990,"Вересень",12
1991,"Вересень",14.8
1992,"Вересень",13.5
1993,"Вересень",11.5
1994,"Вересень",17.8
1995,"Вересень",13.8
1996,"Вересень",11.2
1997,"Вересень",11.8
1998,"Вересень",14.2
1999,"Вересень",15.8
2000,"Вересень",12.3
2001,"Вересень",13.8
2002,"Вересень",13.9
2003,"Вересень",14.1
2004,"Вересень",14.2
2005,"Вересень",16.3
2006,"Вересень",15.5
2007,"Вересень",14.8
2008,"Вересень",13.5
2009,"Вересень",17.3
2010,"Вересень",14.9
2011,"Вересень",15.8
2012,"Вересень",16.2
2013,"Вересень",12.4
2014,"Вересень",15.3
1812,"Жовтень",10.6
1813,"Жовтень",7.6
1814,"Жовтень",6.2
1815,"Жовтень",7.6
1816,"Жовтень",6.9
1817,"Жовтень",4.9
1818,"Жовтень",9
1819,"Жовтень",12.4
1820,"Жовтень",9.2
1821,"Жовтень",8.3
1822,"Жовтень",8.4
1823,"Жовтень",8.4
1824,"Жовтень",8.4
1825,"Жовтень",6.4
1826,"Жовтень",7.2
1827,"Жовтень",7.3
1828,"Жовтень",6.7
1829,"Жовтень",4.9
1830,"Жовтень",5.4
1831,"Жовтень",7
1832,"Жовтень",6.4
1833,"Жовтень",4.7
1834,"Жовтень",7.5
1835,"Жовтень",6.1
1836,"Жовтень",10.5
1837,"Жовтень",6.5
1838,"Жовтень",6.1
1839,"Жовтень",7.6
1840,"Жовтень",6
1841,"Жовтень",10.4
1842,"Жовтень",6.9
1843,"Жовтень",7.9
1844,"Жовтень",8
1845,"Жовтень",8.6
1847,"Жовтень",7.9
1851,"Жовтень",10.5
1852,"Жовтень",7.2
1853,"Жовтень",10.5
1854,"Жовтень",8.9
1855,"Жовтень",10.7
1856,"Жовтень",7.1
1857,"Жовтень",9.4
1858,"Жовтень",11
1859,"Жовтень",8.7
1860,"Жовтень",6.5
1861,"Жовтень",6.5
1862,"Жовтень",7.4
1863,"Жовтень",8
1864,"Жовтень",5.2
1865,"Жовтень",7.4
1866,"Жовтень",3.4
1867,"Жовтень",7.7
1868,"Жовтень",9.1
1869,"Жовтень",8.9
1870,"Жовтень",5.4
1871,"Жовтень",3.7
1872,"Жовтень",7.8
1873,"Жовтень",8.8
1874,"Жовтень",8.7
1875,"Жовтень",4.9
1876,"Жовтень",6.1
1877,"Жовтень",5.1
1878,"Жовтень",11.1
1879,"Жовтень",7.2
1880,"Жовтень",6.7
1881,"Жовтень",4.6
1882,"Жовтень",4.6
1883,"Жовтень",8.2
1884,"Жовтень",7.4
1885,"Жовтень",10.3
1886,"Жовтень",5.5
1887,"Жовтень",5.9
1888,"Жовтень",8.6
1889,"Жовтень",10.2
1890,"Жовтень",6.5
1891,"Жовтень",8.8
1892,"Жовтень",7.7
1893,"Жовтень",9.3
1894,"Жовтень",6.8
1895,"Жовтень",9
1896,"Жовтень",12.1
1897,"Жовтень",7.1
1898,"Жовтень",4.9
1899,"Жовтень",7.6
1900,"Жовтень",8.7
1901,"Жовтень",7.8
1902,"Жовтень",5.1
1903,"Жовтень",5.8
1904,"Жовтень",7.9
1905,"Жовтень",6.6
1906,"Жовтень",6.5
1907,"Жовтень",10.9
1908,"Жовтень",5.4
1909,"Жовтень",10.8
1910,"Жовтень",5.7
1911,"Жовтень",8
1912,"Жовтень",2.8
1913,"Жовтень",7.3
1914,"Жовтень",5.6
1915,"Жовтень",6.2
1916,"Жовтень",7.7
1917,"Жовтень",8.8
1918,"Жовтень",12.1
1919,"Жовтень",6.7
1920,"Жовтень",2.2
1921,"Жовтень",7.9
1922,"Жовтень",4
1923,"Жовтень",10.4
1924,"Жовтень",8.1
1925,"Жовтень",6.8
1926,"Жовтень",7.6
1927,"Жовтень",8.9
1928,"Жовтень",6.9
1929,"Жовтень",11.8
1930,"Жовтень",9
1931,"Жовтень",6.8
1932,"Жовтень",9.7
1933,"Жовтень",8.4
1934,"Жовтень",9.9
1935,"Жовтень",12.4
1936,"Жовтень",4.9
1937,"Жовтень",7.5
1938,"Жовтень",10.2
1939,"Жовтень",5
1940,"Жовтень",5.1
1941,"Жовтень",5
1942,"Жовтень",8.2
1943,"Жовтень",8.1
1944,"Жовтень",9.3
1945,"Жовтень",6.6
1946,"Жовтень",3.2
1947,"Жовтень",4.2
1948,"Жовтень",8.3
1949,"Жовтень",7
1950,"Жовтень",6.5
1951,"Жовтень",4.6
1952,"Жовтень",8.1
1953,"Жовтень",7.9
1954,"Жовтень",7.9
1955,"Жовтень",9.9
1956,"Жовтень",8
1957,"Жовтень",8
1958,"Жовтень",8.1
1959,"Жовтень",5.5
1960,"Жовтень",9.3
1961,"Жовтень",8.1
1962,"Жовтень",8.7
1963,"Жовтень",8.7
1964,"Жовтень",9.1
1965,"Жовтень",6.4
1966,"Жовтень",11.5
1967,"Жовтень",11.2
1968,"Жовтень",7
1969,"Жовтень",7.5
1970,"Жовтень",6.4
1971,"Жовтень",7.2
1972,"Жовтень",6.8
1973,"Жовтень",7.3
1974,"Жовтень",9.6
1975,"Жовтень",7.6
1976,"Жовтень",4.2
1977,"Жовтень",7.7
1978,"Жовтень",8.1
1979,"Жовтень",5.9
1980,"Жовтень",8.8
1981,"Жовтень",9.6
1982,"Жовтень",8.7
1983,"Жовтень",8.3
1984,"Жовтень",10.1
1985,"Жовтень",8.1
1986,"Жовтень",7.3
1987,"Жовтень",6.8
1988,"Жовтень",7.2
1989,"Жовтень",9.1
1990,"Жовтень",8.6
1991,"Жовтень",8.8
1992,"Жовтень",6.4
1993,"Жовтень",7.8
1994,"Жовтень",8
1995,"Жовтень",9
1996,"Жовтень",8.6
1997,"Жовтень",6.2
1998,"Жовтень",7.7
1999,"Жовтень",8.2
2000,"Жовтень",9.5
2001,"Жовтень",9.3
2002,"Жовтень",7
2003,"Жовтень",6.8
2004,"Жовтень",9.3
2005,"Жовтень",9
2006,"Жовтень",9.7
2007,"Жовтень",9.4
2008,"Жовтень",10.7
2009,"Жовтень",9.1
2010,"Жовтень",6.3
2011,"Жовтень",7.7
2012,"Жовтень",10.1
2013,"Жовтень",9.7
2014,"Жовтень",7.7
1812,"Листопад",1.8
1813,"Листопад",6.3
1814,"Листопад",-0.2
1815,"Листопад",3.5
1816,"Листопад",4.4
1817,"Листопад",1.1
1818,"Листопад",2.4
1819,"Листопад",3.3
1820,"Листопад",1.6
1821,"Листопад",2.6
1822,"Листопад",1.8
1823,"Листопад",2.6
1824,"Листопад",2.8
1825,"Листопад",5
1826,"Листопад",2.2
1827,"Листопад",-0.6
1828,"Листопад",-0.1
1829,"Листопад",-2.9
1830,"Листопад",1.6
1831,"Листопад",-0.6
1832,"Листопад",-3.7
1833,"Листопад",-0.1
1834,"Листопад",1.4
1835,"Листопад",-4.2
1836,"Листопад",-0.7
1837,"Листопад",1.9
1838,"Листопад",0.6
1839,"Листопад",1.6
1840,"Листопад",1.3
1841,"Листопад",2.7
1842,"Листопад",0.6
1843,"Листопад",1.7
1844,"Листопад",-1.4
1845,"Листопад",3.1
1847,"Листопад",1.8
1851,"Листопад",8.8
1852,"Листопад",2.6
1853,"Листопад",0.2
1854,"Листопад",2.7
1855,"Листопад",0.8
1856,"Листопад",-1.4
1857,"Листопад",0.7
1858,"Листопад",-3.9
1859,"Листопад",1.2
1860,"Листопад",-0.6
1861,"Листопад",3.9
1862,"Листопад",-4.3
1863,"Листопад",3.1
1864,"Листопад",-2.6
1865,"Листопад",2.5
1866,"Листопад",0.4
1867,"Листопад",-1.5
1868,"Листопад",-0.8
1869,"Листопад",2
1870,"Листопад",5.4
1871,"Листопад",2.2
1872,"Листопад",4.9
1873,"Листопад",1.8
1874,"Листопад",-0.2
1875,"Листопад",-0.6
1876,"Листопад",-2.9
1877,"Листопад",2.7
1878,"Листопад",4.9
1879,"Листопад",-0.4
1880,"Листопад",2.2
1881,"Листопад",0.4
1882,"Листопад",0.5
1883,"Листопад",3.1
1884,"Листопад",-1.4
1885,"Листопад",-0.5
1886,"Листопад",3.2
1887,"Листопад",2.9
1888,"Листопад",-0.8
1889,"Листопад",3.3
1890,"Листопад",0.7
1891,"Листопад",-2.5
1892,"Листопад",-1
1893,"Листопад",1.4
1894,"Листопад",0.6
1895,"Листопад",1.9
1896,"Листопад",-1.4
1897,"Листопад",-1.4
1898,"Листопад",3.5
1899,"Листопад",3.4
1900,"Листопад",-0.3
1901,"Листопад",0.7
1902,"Листопад",-3.7
1903,"Листопад",2.9
1904,"Листопад",0.6
1905,"Листопад",3.2
1906,"Листопад",3.4
1907,"Листопад",-2.3
1908,"Листопад",-3.4
1909,"Листопад",1.5
1910,"Листопад",2
1911,"Листопад",2.9
1912,"Листопад",0.5
1913,"Листопад",4.1
1914,"Листопад",-1.9
1915,"Листопад",0.9
1916,"Листопад",1.7
1917,"Листопад",4.7
1918,"Листопад",0.1
1919,"Листопад",-3.5
1920,"Листопад",-2.5
1921,"Листопад",-3.5
1922,"Листопад",1.9
1923,"Листопад",5.8
1924,"Листопад",0.5
1925,"Листопад",1.9
1926,"Листопад",6.1
1927,"Листопад",1.5
1928,"Листопад",4.5
1929,"Листопад",3.3
1930,"Листопад",4
1931,"Листопад",-0.3
1932,"Листопад",2
1933,"Листопад",1.5
1934,"Листопад",3.8
1935,"Листопад",-0.9
1936,"Листопад",1.9
1937,"Листопад",2.6
1938,"Листопад",4.9
1939,"Листопад",1.9
1940,"Листопад",4.6
1941,"Листопад",4.6
1942,"Листопад",-0.9
1943,"Листопад",-0.9
1944,"Листопад",3.2
1945,"Листопад",0.6
1946,"Листопад",-0.6
1947,"Листопад",1.2
1948,"Листопад",0.6
1949,"Листопад",4.4
1950,"Листопад",2.4
1951,"Листопад",2.2
1952,"Листопад",1.1
1953,"Листопад",-1.6
1954,"Листопад",1.8
1955,"Листопад",-0.2
1956,"Листопад",-2.8
1957,"Листопад",3
1958,"Листопад",1
1959,"Листопад",-0.3
1960,"Листопад",3.7
1961,"Листопад",2.8
1962,"Листопад",4.2
1963,"Листопад",4.4
1964,"Листопад",2.1
1965,"Листопад",-1.7
1966,"Листопад",1.2
1967,"Листопад",4.4
1968,"Листопад",1
1969,"Листопад",5.7
1970,"Листопад",3.2
1971,"Листопад",2.1
1972,"Листопад",3.4
1973,"Листопад",0.9
1974,"Листопад",2.9
1975,"Листопад",-0.3
1976,"Листопад",2.6
1977,"Листопад",4.1
1978,"Листопад",4.7
1979,"Листопад",0.9
1980,"Листопад",1.3
1981,"Листопад",1.8
1982,"Листопад",4
1983,"Листопад",1.2
1984,"Листопад",0.5
1985,"Листопад",-1.4
1986,"Листопад",1.7
1987,"Листопад",2.2
1988,"Листопад",-2.2
1989,"Листопад",0.2
1990,"Листопад",5.2
1991,"Листопад",2.4
1992,"Листопад",1.6
1993,"Листопад",-6
1994,"Листопад",1.1
1995,"Листопад",-0.3
1996,"Листопад",6.7
1997,"Листопад",3.2
1998,"Листопад",-3.3
1999,"Листопад",-0.2
2000,"Листопад",4.5
2001,"Листопад",2.3
2002,"Листопад",3.9
2003,"Листопад",3.4
2004,"Листопад",2.9
2005,"Листопад",2.2
2006,"Листопад",3.4
2007,"Листопад",0.6
2008,"Листопад",3.5
2009,"Листопад",4.7
2010,"Листопад",8
